GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blog,com.meublog.controller,PostagemController,5,3,0,0,1,1,1,1,1,1
blog,com.meublog.controller,AuthController,42,3,4,0,8,1,3,1,1,1
blog,com.meublog.service,UsuarioService,26,3,0,0,4,1,4,1,4,1
blog,com.meublog.service,PostagemService,90,3,0,0,18,1,8,1,8,1
blog,com.meublog.service,TemaService,46,3,0,0,10,1,6,1,6,1
blog,com.meublog.security,JwtUtils,42,6,0,0,15,2,3,1,3,1
blog,com.meublog.security,AuthTokenFilter,67,9,8,0,17,4,6,1,2,1
blog,com.meublog,BlogApplication,5,3,0,0,2,1,1,1,1,1
blog,com.meublog.config,SecurityConfig,0,63,0,0,0,13,0,9,0,9
blog,com.meublog.model,Tema,168,3,30,0,6,1,27,1,12,1
blog,com.meublog.model,Usuario,208,3,38,0,12,1,38,1,19,1
blog,com.meublog.model,Tema.TemaBuilder,36,0,0,0,1,0,6,0,6,0
blog,com.meublog.model,Postagem.PostagemBuilder,63,0,0,0,1,0,9,0,9,0
blog,com.meublog.model,Postagem,296,6,54,0,8,2,45,1,18,1
blog,com.meublog.dto,UsuarioLoginDTO,17,0,0,0,7,0,5,0,5,0
